date,description,type,amount,balance
04-05-2025,B//HDF24B4EDF39B234726A4B,debit,720.0,6914.33
04-05-2025,,credit,390.0,7304.33
04-05-2025,7DC4BCCB6AA9A98F642CB61/,credit,100.0,7404.33
06-05-2025,C8D07BED30491B/06/05/2025,debit,15.0,7389.33
06-05-2025,2B19DE62C544F593/06/05/2025,credit,10.0,7399.33
06-05-2025,2114BD2902B408C6F11F646/06,debit,4.0,7395.33
06-05-2025,45E0A13B6E3F32B/06/05/2025,debit,20.0,7375.33
09-05-2025,,debit,20.0,7355.33
09-05-2025,B926B10868C45/09/05/2025,debit,10.0,7345.33
10-05-2025,FC0F30EAEF92149E7AC44CF3,debit,20.0,7325.33
11-05-2025,B2B4B03B71C46D2B06573B9/1,debit,8.0,7317.33
11-05-2025,,debit,110.0,7207.33
13-05-2025,12261C0BD1951/13/05/2025,debit,12.0,7195.33
13-05-2025,85898F14C42CF576/13/05/2025,debit,58.0,7137.33
14-05-2025,B3816178A4D72C/14/05/2025,debit,20.0,7117.33
14-05-2025,4AEF9CFD133E2074FB04/14/05,debit,24.0,7093.33
14-05-2025,1E049EE9DFBC3/14/05/2025,credit,5.0,7098.33
15-05-2025,E9033647F4C8B/15/05/2025,debit,36.0,7062.33
15-05-2025,6B1D98866BE551/15/05/2025,debit,29.0,7033.33
15-05-2025,FB24CA7B7CC56A0081B5FF9/1,debit,500.0,6533.33
15-05-2025,9BBBAF3057E8BC8/15/05/2025,debit,68.0,6465.33
16-05-2025,CFF4B169AE2328E2753B76D/1,debit,24.0,6441.33
16-05-2025,C914EF68C6CDA9E026627FF/1,debit,500.0,5941.33
17-05-2025,2692CE0B05384F4B896C3FEB,debit,10.0,5931.33
17-05-2025,,credit,100.0,6031.33
17-05-2025,04BDA463D079177/17/05/2025,debit,63.0,5968.33
17-05-2025,F4350F05C71A740499AC64096,debit,24.0,5944.33
17-05-2025,2F9A69AC5CA6172/17/05/2025,debit,72.0,5872.33
17-05-2025,B54A40B0219CE3BC87E775/17/,credit,750.0,6622.33
18-05-2025,,debit,170.0,6452.33
18-05-2025,2BF4FD4B40A9C9191BD6A8B/1,credit,250.0,6702.33
19-05-2025,,credit,8.0,6710.33
19-05-2025,,credit,88.0,6798.33
19-05-2025,B34EE283672D806E5C5A1E/19/,credit,24.0,6822.33
19-05-2025,,debit,61.0,6761.33
19-05-2025,E58D9601CE26BF9/19/05/2025,debit,120.0,6641.33
19-05-2025,00C72B6574F5738/19/05/2025,debit,17.0,6624.33
19-05-2025,F584DECBF02905FEEC18B92/1,debit,30.0,6594.33
20-05-2025,DE4B6F9B9D45F28C02F7C646,debit,135.0,6459.33
21-05-2025,,debit,90.0,6369.33
22-05-2025,//YBL09C8125158234ECD8170E,credit,51.0,6420.33
22-05-2025,,debit,85.0,6335.33
23-05-2025,19C430CB389D8546BF6EC5B/2,credit,50.0,6385.33
23-05-2025,25748B5A35EDD8C05E0D6D3/2,credit,12.0,6397.33
23-05-2025,BF0269FDDA52D9DA/23/05/202,debit,114.0,6283.33
23-05-2025,,debit,15.0,6268.33
24-05-2025,348413936ECA/24/05/2025,debit,10.0,6258.33
24-05-2025,,debit,80.0,6178.33
25-05-2025,2FC6D453AE5443FAC/25/05/20,debit,20.0,6158.33
26-05-2025,,debit,32.0,6126.33
27-05-2025,E846B8C56EA/27/05/2025,debit,28.0,6098.33
28-05-2025,,debit,210.0,5888.33
28-05-2025,//YBLB2D68E591C50451AAD89,credit,70.0,5958.33
29-05-2025,2F8B2FAE116037B/29/05/2025,debit,82.0,5876.33
29-05-2025,//YBL8AA0D86EDA284B9AAB25,credit,120.0,5996.33
29-05-2025,,debit,185.0,5811.33
30-05-2025,C75193575F/30/05/2025,debit,50.0,5761.33
01-06-2025,D4351EBCFA3CF53/01/06/2025,debit,60.0,5701.33
01-06-2025,D6A7102830017/01/06/2025,debit,255.0,5446.33
02-06-2025,,credit,30.0,5476.33
02-06-2025,,debit,20.0,5456.33
02-06-2025,06FC45E0996B7BC44A0B0D0E/,credit,50.0,5506.33
02-06-2025,,credit,72.0,5578.33
02-06-2025,EE7C753500/02/06/2025,debit,72.0,5506.33
03-06-2025,5B808D0BC6293/03/06/2025,debit,95.0,5411.33
03-06-2025,EB7D890943C/03/06/2025,debit,860.9,4550.43
03-06-2025,,debit,32.0,4518.43
04-06-2025,,debit,899.0,3619.43
04-06-2025,,credit,100.0,3719.43
04-06-2025,F8F170F4F7E681B8B/04/06/202,debit,40.0,3679.43
04-06-2025,,debit,50.0,3629.43
04-06-2025,,credit,40.0,3669.43
04-06-2025,F4E77F93AAF6E8B/04/06/2025,debit,180.0,3489.43
05-06-2025,AE700AE4F8A6E786/05/06/2025,debit,47.0,3442.43
05-06-2025,03241E985CEE134ADAE6A8B/0,debit,100.0,3342.43
06-06-2025,,credit,163.0,3505.43
06-06-2025,47F39D748D0899DC8693/06/06/,debit,163.09,3342.34
06-06-2025,4DB4854A609B3BCDBDF7523/0,debit,20.0,3322.34
06-06-2025,D738699FB51B5/06/06/2025,credit,345.0,3667.34
06-06-2025,,debit,60.0,3607.34
06-06-2025,4B2F4CC0D0E457443/06/06/202,debit,30.0,3577.34
06-06-2025,054A4E9891A418B101EF73/06/,credit,56.0,3633.34
06-06-2025,,debit,56.0,3577.34
07-06-2025,SERVICES--SALARY,credit,40000.0,43577.34
07-06-2025,C656076763B/07/06/2025,debit,35000.0,8577.34
07-06-2025,AA56BC829C4C1/07/06/2025,debit,10.0,8567.34
07-06-2025,52F4B429BD64269A970F365/07,credit,68.0,8635.34
07-06-2025,EE35C1EBE8/07/06/2025,debit,68.0,8567.34
07-06-2025,9885E44DD70267E71/07/06/202,debit,34.0,8533.34
07-06-2025,,debit,40.0,8493.34
07-06-2025,6B48DD86961F20777A63CF/07/,credit,40.0,8533.34
07-06-2025,,debit,85.0,8448.34
08-06-2025,,debit,148.0,8300.34
08-06-2025,434DFBAB171EB8592F10DF/08/,credit,48.0,8348.34
08-06-2025,6084E179AE73A7EADADD86F/0,credit,12.0,8360.34
08-06-2025,8B74485A2D7A1B66451E802/08,credit,90.0,8450.34
08-06-2025,E320E9F8AB/08/06/2025,debit,5.0,8445.34
08-06-2025,,debit,20.0,8425.34
08-06-2025,65CADFD436/08/06/2025,debit,30.0,8395.34
08-06-2025,4D57A68670/08/06/2025,debit,220.0,8175.34
08-06-2025,,debit,20.0,8155.34
08-06-2025,B644D3A8D64356B6805815/08/,credit,20.0,8175.34
09-06-2025,2A680B358450093E0ED9B69E1,debit,50.0,8125.34
09-06-2025,27B4BBCAFE5651713565877/09,credit,30.0,8155.34
09-06-2025,09A984B4B2/09/06/2025,debit,100.0,8055.34
09-06-2025,,debit,20.0,8035.34
09-06-2025,01C38956D143B/09/06/2025,debit,150.0,7885.34
11-06-2025,50004A5C8A811256A14B78B2/1,debit,50.0,7835.34
13-06-2025,5252ECFE625033/13/06/2025,debit,52.0,7783.34
13-06-2025,FDC72C3471C67/13/06/2025,debit,32.0,7751.34
15-06-2025,,debit,74.0,7677.34
15-06-2025,DC43F413397B20EA0DE734137,debit,1491.0,6186.34
15-06-2025,198B848D0DC81BB2C/15/06/20,debit,140.0,6046.34
16-06-2025,SERVICES--SALARY,credit,100000.0,106046.34
16-06-2025,F970E91C62D974F19A36317C9,debit,90000.0,16046.34
17-06-2025,A84E913BDC4F5/17/06/2025,debit,30.0,16016.34
17-06-2025,,debit,80.0,15936.34
17-06-2025,,debit,1072.0,14864.34
17-06-2025,39F49A4010AB40D6990AC2AA,debit,40.0,14824.34
18-06-2025,4515E90054323E/18/06/2025,debit,45.0,14779.34
19-06-2025,F8588375B548C4150BD8065A4,debit,10000.0,4779.34
19-06-2025,4E963B2CC42/19/06/2025,debit,70.0,4709.34
19-06-2025,8DEFD63F7613F90C/19/06/2025,debit,75.0,4634.34
20-06-2025,EA2971B65951E0E/20/06/2025,debit,40.0,4594.34
20-06-2025,DFB752F934E0F34E4C984E292,debit,40.0,4554.34
20-06-2025,,debit,340.0,4214.34
20-06-2025,EE82ACA3C047DEBD10AFAF8,debit,30.0,4184.34
20-06-2025,3A69812E4E/20/06/2025,debit,30.0,4154.34
25-06-2025,94C1DE21432ED4A/25/06/2025,debit,1580.0,2574.34
25-06-2025,4DD88C77B1FB774/25/06/2025,debit,800.0,1774.34
27-06-2025,,debit,300.0,1474.34
28-06-2025,,credit,42.0,1516.34
28-06-2025,4B0E678CAE6D4/28/06/2025,debit,68.0,1448.34
28-06-2025,90CA64B45AC04E1CCE87BF1F,debit,185.78,1262.56
29-06-2025,BF9BB3E2DA84CE43/29/06/202,debit,40.0,1222.56
30-06-2025,07483E831FF6F587BC0111/30/,credit,10000.0,11222.56
30-06-2025,730062517093068627772/30/06/,debit,5875.0,5347.56
30-06-2025,46D74150B0122AAAC781A4E6/,debit,2106.0,3241.56
30-06-2025,AFD34E568E31C065BA623AF2/,debit,2074.55,1167.01
01-07-2025,BC0861B57F75929/01/07/2025,debit,300.9,866.11
02-07-2025,77AFFCA9F/02/07/2025,debit,24.0,842.11
02-07-2025,,debit,40.0,802.11
